과제Id,기관명,과제명,분류,연구수행기관,사업연도,보고서공개여부,조회수,좋아요
1490000-202300055,고용노동부,임금체계 개편과 격차 해소 촉진을 위한 법·제도·정책 개선방안 연구,사회복지,한국고용노사관계학회,2023,공개,393,0
1490000-202300054,고용노동부,미국 노사관계 법·제도 조사연구,사회복지,사단법인 한국노동법학회,2023,공개,380,0
1490000-202300052,고용노동부,고용안정.직업능력개발사업.실업급여.임금 등 노동시장의 분석정보 통합 제공 방안 연구,사회복지,한국고용정보원,2023,공개,381,0
1490000-202300051,고용노동부,실업급여수급자 등의 밀착 취업지원서비스를 위한 고용서비스 통합 네트워크 운영 가이드라인 마련 및 사업 모니터링,사회복지,한국직업자격학회,2023,부분공개,389,0
1490000-202300050,고용노동부,업종별 취업지원허브 운영 가이드라인 마련 및 모니터링,사회복지,한국노동연구원,2023,부분공개,376,0
1490000-202300049,고용노동부,정부인증 가사서비스 시장 활성화를 위한 실태조사 및 정책방안 연구,사회복지,한국노동연구원,2023,공개,435,0
1490000-202300048,고용노동부,"유연근무에 따른 인사 노무관리, 성과 측정 방법 연구",사회복지,동국대학교 산학협력단,2023,공개,447,0
1490000-202300047,고용노동부,유연근무 활성화 방안 연구(직종 간 갈등 해결 방안 포함),사회복지,한국노동사회연구소,2023,공개,390,0
1490000-202300046,고용노동부,워크넷ㆍ고용보험ㆍ직업능력개발정보망 등 온라인 고용정보시스템 이용실태 및 개선방안 연구,사회복지,한국고용정보원,2023,공개,387,0
1490000-202300045,고용노동부,사업주 직장복귀계획서 제출제도 활성화를 위한 직업재활프로그램 운영수가 개발 및 산재장해인 직업복귀지원 강화 연구,사회복지,호서대학교 산학협력단,2023,공개,374,0
1490000-202300044,고용노동부,2023년도 노사관계 실태분석 및 평가,사회복지,한국노동연구원,2023,공개,405,0
1490000-202300043,고용노동부,국민취업지원제도 운영성과 분석 및 만족도 조사,사회복지,한국노동연구원,2023,공개,458,0
1490000-202300042,고용노동부,2022년 기준 일가정 양립 실태조사 및 지역별 일생활 균형 지수 산출,사회복지,한국여성정책연구원,2023,공개,432,0
1490000-202300041,고용노동부,기업 도약보장 패키지 성과 모니터링,사회복지,숙명여자대학교 산학협력단,2023,공개,393,0
1490000-202300040,고용노동부,유해화학물질 유출사고에서의 필수업무 및 필수업무 종사자 실태조사,사회복지,가천대학교 산학협력단,2023,공개,380,0
1490000-202300039,고용노동부,산재보험 행정처분에 대한 권리구제 절차 연구,사회복지,한국고용노사관계학회,2023,공개,384,0
1490000-202300038,고용노동부,심판.차별시정 관련 분쟁해결과 개선방안,사회복지,사단법인 한국노동법학회,2023,공개,382,0
1490000-202300034,고용노동부,외국인력 수급관련 노동시장 영향 분석 연구,사회복지,한국노동연구원,2023,공개,488,0
1490000-202300032,고용노동부,근로감독 행정 제도적 기반 연구,사회복지,사단법인 한국노동법학회,2023,공개,385,0
1490000-202300027,고용노동부,2022년도 고용노동부 산하 기타공공기관 경영평가,일반공공행정,(사)한국행정학회,2023,공개,785,0
1490000-202300024,고용노동부,K-디지털 트레이닝 훈련품질 제고를 위한 발전방안 마련,교육,한국직업능력연구원,2023,공개,455,0
1490000-202300012,고용노동부,2024년 최저임금 심의를 위한 임금실태 등 분석,사회복지,한국노동연구원,2023,공개,932,0
1490000-202300011,고용노동부,2024년 최저임금 심의를 위한 비혼 단신근로자 실태생계비 분석,사회복지,(사)한국통계학회,2023,공개,752,0
1490000-202300005,고용노동부,직업능력개발서비스산업 육성방안 연구,사회복지,한국기술교육대학교 산학협력단,2023,공개,401,0
